merchant_name,mcc,address,geo_coordinates,org_name,org_description,website,source_url
MA0001065581,4900,,,Газпром энергосбыт Тюмень,,,https://merchantpoint.ru/brand/4336
"""GOROD KOFE""",5814,,,Город кофе,"Компания Город Кофе успешно работает на российском рынке с 2007 года, специализируясь на предоставлении комплексных услуг в сегменте вендинга, которые включают в себя: установку вендинговых аппаратов, поставку профессионального кофе и других ингредиентов для автоматов от ведущих итальянских и немецких поставщиков, продажу оборудования и его полное сервисное обслуживание.",https://kofe31.ru/,https://merchantpoint.ru/brand/4337
EC_ALFA TELECOM,4814,,,Альфа-Телеком,,,https://merchantpoint.ru/brand/4338
MA0000470994,4814,,,МГТС,,,https://merchantpoint.ru/brand/4339
"AZALIA,Azalia,Azalia Now,Robokassa*Azalia22new,YM *azalia22",5992,Онлайн,,AzaliaNow,"AzaliaNow — это динамично развивающийся сервис на российском рынке онлайн-продаж и доставки цветов, который нацелен на превосходство в каждой детали. Мы ежедневно создаём эффектные букеты любой сложности, удивляя наших клиентов высоким качеством и оригинальностью. Сотрудничая с крупнейшими экспортёрами растений со всего мира, мы гарантируем, что каждый цветок, используемый в наших композициях, на 100% свежий и поступает к нам ежедневно. Наши профессиональные флористы, обладающие многолетним опытом, тщательно собирают каждый букет, вкладывая в него не только мастерство, но и душу. Кроме того, AzaliaNow предлагает широкий ассортимент цветов и уникальных растений, что позволяет каждому клиенту подобрать идеальный букет, соответствующий любому вкусу и бюджету. Мы стремимся не просто удовлетворить ожидания, а создать незабываемые впечатления, превращая каждый заказ в настоящее произведение искусства.",https://azalianow.ru,https://merchantpoint.ru/brand/4324
"SP TODA PICCA,SP_TODA PICCA,TODA PICCA","5812,5814",,,Toda Pizza,"Сеть пиццерий, г. Москва",https://todapizza.ru/,https://merchantpoint.ru/brand/4325
"B1 PAMADZHIR,B1 SEVERNYY DONET,B1 STEPNAYA NEELOVKA,B1 YALYNKOVATOE,B1 ZLATOKLAS",5411,"Московская обл, г Домодедово, мкр Центральный, ул Кирова, д 17 к 1",,В1 Первый выбор,Первый выбор — Выгодный продуктовый магазин. Ведь «В1 — Первый выбор» уже подобрал для вас свежие продукты по низким ценам,https://v1.market/,https://merchantpoint.ru/brand/4326
,,,,NKclinic,"Имплантологический центр NKclinic Команда докторов, для которых нет невозможного Москва, Ленинский просп., 72/2",https://nkclinic.ru/,https://merchantpoint.ru/brand/4327
"""IP PRAVDINA N.V."",MK Delivery,NADEZHDA","5411,5499,5814",,,Супермаркет  Надежда,,,https://merchantpoint.ru/brand/4328
"IP Vladimirov A A,ZABOTLIVYE CENY","5411,5814",,,Заботливые цены,,https://vk.com/zab_ceny?ysclid=m37eenvmsa398384325,https://merchantpoint.ru/brand/4329
KANTMARKET,5411,,,КАНТ маркет,,https://vk.com/kant_market_kld?ysclid=m37ejgfgla287331038,https://merchantpoint.ru/brand/4330
MA0000219262,9400,Онлайн,,Финуслуги,,,https://merchantpoint.ru/brand/4331
9 PROCENTOV,5411,,,9 процентов,Сеть продуктовых магазинов г. Самара,,https://merchantpoint.ru/brand/4332
MA0000482889,5912,,,Губернские аптеки,«Губернские аптеки» — крупнейшая региональная аптечная сеть Сибири.,https://vk.com/gubernskie_apteki,https://merchantpoint.ru/brand/4333
"DEMIX 6298,DEMIX 6357,DEMIX 6381,DEMIX 6391,DEMIX 6923,MA0000823539,MA0000979955,MA0001832566,MA0002073846,MA0002167561,MA0002573029,MA0002616653",5655,,,Demix,"Demix — это бренд, который представляет собой передовое решение для спортсменов и активных людей, предлагая широкий ассортимент экипировки для различных видов спорта, таких как тренировки, фитнес, бег, йога, плавание и командные виды спорта. Продукция бренда разрабатывается международной командой технологов, дизайнеров и специалистов спортивной индустрии, что позволяет учитывать все последние тенденции и технологические достижения. Вдохновленные стремлением создавать продукцию, которая помогает достигать новых высот в спорте и тренировках, специалисты Demix используют только инновационные материалы и разработки. Каждый элемент коллекции Demix, от спортивных костюмов до обуви и аксессуаров, отражает философию бренда, которая заключается в сочетании комфорта, функциональности и стиля. Независимо от того, занимаетесь ли вы бегом на длинные дистанции, предпочитаете занятия йогой или играете в командные игры, экипировка Demix помогает достигать лучших результатов. Она не только повышает производительность, но и поддерживает высокий уровень комфорта, позволяя сосредоточиться на тренировке без отвлекающих факторов. Demix является частью крупнейшей сети спортивных магазинов «Спортмастер», что предоставляет бренду доступ к широкой аудитории, а также возможность тестировать свою продукцию на множестве различных рынков. В этой синергии «Спортмастер» обеспечивает огромный опыт в области спортивной розничной торговли, а Demix представляет собой идеальный баланс между технологической инновацией и доступной ценой, что позволяет каждому покупателю найти продукцию, идеально подходящую под его потребности и бюджет. Особое внимание уделяется качеству и долговечности продукции. Использование высококачественных материалов, таких как дышащие ткани, эластичные и прочные волокна, обеспечивает надежность и долгий срок службы каждого изделия. Множество спортивных аксессуаров и специализированных вещей, таких как спортивные сумки, бутылки для воды и гетры, идеально дополняют основной ассортимент, создавая полную картину для активного образа жизни. Бренд активно сотрудничает с профессиональными спортсменами и фитнес-тренерами, получая ценную информацию для дальнейшего улучшения своей продукции. Включение таких экспертов в процесс разработки позволяет не только улучшить функциональность, но и добавить новаторские элементы, которые делают тренировочный процесс более эффективным и комфортным. Вне зависимости от уровня подготовки, каждый может найти в Demix то, что поможет ему достичь своих целей. Кроме того, компания активно внедряет экологические и устойчивые практики в производственные процессы. Материалы, использующиеся для изготовления спортивной одежды и снаряжения, проходят строгую проверку на безопасность и экологическую чистоту, что делает продукцию Demix не только удобной и надежной, но и заботящейся об окружающей среде. Не стоит забывать и о дизайнерской составляющей бренда. Учитывая стремление к созданию функциональной и в то же время стильной продукции, Demix выпускает коллекции, которые сочетают современные тренды и удобство. Визуальная составляющая коллекции аккуратно продумана, чтобы каждый покупатель мог подчеркнуть свою индивидуальность, не жертвуя при этом качеством и комфортом. Это делает бренд популярным как среди профессиональных спортсменов, так и среди любителей активного образа жизни. Тренировочная экипировка Demix предоставляет уникальное сочетание технологий, стиля и доступности. Бренд стремится не только к созданию товаров для спорта, но и к тому, чтобы стать верным спутником на пути к достижениям. Использование последних достижений в области спортивной науки и технологий позволяет Demix предлагать продукцию, которая помогает каждому пользователю развиваться и достигать новых вершин в спорте и физической активности.",https://www.demix.ru,https://merchantpoint.ru/brand/4335
MA0001065581,4900,,,Газпром энергосбыт Тюмень,,,https://merchantpoint.ru/brand/4336
"""GOROD KOFE""",5814,,,Город кофе,"Компания Город Кофе успешно работает на российском рынке с 2007 года, специализируясь на предоставлении комплексных услуг в сегменте вендинга, которые включают в себя: установку вендинговых аппаратов, поставку профессионального кофе и других ингредиентов для автоматов от ведущих итальянских и немецких поставщиков, продажу оборудования и его полное сервисное обслуживание.",https://kofe31.ru/,https://merchantpoint.ru/brand/4337
EC_ALFA TELECOM,4814,,,Альфа-Телеком,,,https://merchantpoint.ru/brand/4338
MA0000470994,4814,,,МГТС,,,https://merchantpoint.ru/brand/4339
"AZALIA,Azalia,Azalia Now,Robokassa*Azalia22new,YM *azalia22",5992,Онлайн,,AzaliaNow,"AzaliaNow — это динамично развивающийся сервис на российском рынке онлайн-продаж и доставки цветов, который нацелен на превосходство в каждой детали. Мы ежедневно создаём эффектные букеты любой сложности, удивляя наших клиентов высоким качеством и оригинальностью. Сотрудничая с крупнейшими экспортёрами растений со всего мира, мы гарантируем, что каждый цветок, используемый в наших композициях, на 100% свежий и поступает к нам ежедневно. Наши профессиональные флористы, обладающие многолетним опытом, тщательно собирают каждый букет, вкладывая в него не только мастерство, но и душу. Кроме того, AzaliaNow предлагает широкий ассортимент цветов и уникальных растений, что позволяет каждому клиенту подобрать идеальный букет, соответствующий любому вкусу и бюджету. Мы стремимся не просто удовлетворить ожидания, а создать незабываемые впечатления, превращая каждый заказ в настоящее произведение искусства.",https://azalianow.ru,https://merchantpoint.ru/brand/4324
"SP TODA PICCA,SP_TODA PICCA,TODA PICCA","5812,5814",,,Toda Pizza,"Сеть пиццерий, г. Москва",https://todapizza.ru/,https://merchantpoint.ru/brand/4325
"B1 PAMADZHIR,B1 SEVERNYY DONET,B1 STEPNAYA NEELOVKA,B1 YALYNKOVATOE,B1 ZLATOKLAS",5411,"Московская обл, г Домодедово, мкр Центральный, ул Кирова, д 17 к 1",,В1 Первый выбор,Первый выбор — Выгодный продуктовый магазин. Ведь «В1 — Первый выбор» уже подобрал для вас свежие продукты по низким ценам,https://v1.market/,https://merchantpoint.ru/brand/4326
,,,,NKclinic,"Имплантологический центр NKclinic Команда докторов, для которых нет невозможного Москва, Ленинский просп., 72/2",https://nkclinic.ru/,https://merchantpoint.ru/brand/4327
"""IP PRAVDINA N.V."",MK Delivery,NADEZHDA","5411,5499,5814",,,Супермаркет  Надежда,,,https://merchantpoint.ru/brand/4328
"IP Vladimirov A A,ZABOTLIVYE CENY","5411,5814",,,Заботливые цены,,https://vk.com/zab_ceny?ysclid=m37eenvmsa398384325,https://merchantpoint.ru/brand/4329
KANTMARKET,5411,,,КАНТ маркет,,https://vk.com/kant_market_kld?ysclid=m37ejgfgla287331038,https://merchantpoint.ru/brand/4330
MA0000219262,9400,Онлайн,,Финуслуги,,,https://merchantpoint.ru/brand/4331
9 PROCENTOV,5411,,,9 процентов,Сеть продуктовых магазинов г. Самара,,https://merchantpoint.ru/brand/4332
MA0000482889,5912,,,Губернские аптеки,«Губернские аптеки» — крупнейшая региональная аптечная сеть Сибири.,https://vk.com/gubernskie_apteki,https://merchantpoint.ru/brand/4333
"DEMIX 6298,DEMIX 6357,DEMIX 6381,DEMIX 6391,DEMIX 6923,MA0000823539,MA0000979955,MA0001832566,MA0002073846,MA0002167561,MA0002573029,MA0002616653",5655,,,Demix,"Demix — это бренд, который представляет собой передовое решение для спортсменов и активных людей, предлагая широкий ассортимент экипировки для различных видов спорта, таких как тренировки, фитнес, бег, йога, плавание и командные виды спорта. Продукция бренда разрабатывается международной командой технологов, дизайнеров и специалистов спортивной индустрии, что позволяет учитывать все последние тенденции и технологические достижения. Вдохновленные стремлением создавать продукцию, которая помогает достигать новых высот в спорте и тренировках, специалисты Demix используют только инновационные материалы и разработки. Каждый элемент коллекции Demix, от спортивных костюмов до обуви и аксессуаров, отражает философию бренда, которая заключается в сочетании комфорта, функциональности и стиля. Независимо от того, занимаетесь ли вы бегом на длинные дистанции, предпочитаете занятия йогой или играете в командные игры, экипировка Demix помогает достигать лучших результатов. Она не только повышает производительность, но и поддерживает высокий уровень комфорта, позволяя сосредоточиться на тренировке без отвлекающих факторов. Demix является частью крупнейшей сети спортивных магазинов «Спортмастер», что предоставляет бренду доступ к широкой аудитории, а также возможность тестировать свою продукцию на множестве различных рынков. В этой синергии «Спортмастер» обеспечивает огромный опыт в области спортивной розничной торговли, а Demix представляет собой идеальный баланс между технологической инновацией и доступной ценой, что позволяет каждому покупателю найти продукцию, идеально подходящую под его потребности и бюджет. Особое внимание уделяется качеству и долговечности продукции. Использование высококачественных материалов, таких как дышащие ткани, эластичные и прочные волокна, обеспечивает надежность и долгий срок службы каждого изделия. Множество спортивных аксессуаров и специализированных вещей, таких как спортивные сумки, бутылки для воды и гетры, идеально дополняют основной ассортимент, создавая полную картину для активного образа жизни. Бренд активно сотрудничает с профессиональными спортсменами и фитнес-тренерами, получая ценную информацию для дальнейшего улучшения своей продукции. Включение таких экспертов в процесс разработки позволяет не только улучшить функциональность, но и добавить новаторские элементы, которые делают тренировочный процесс более эффективным и комфортным. Вне зависимости от уровня подготовки, каждый может найти в Demix то, что поможет ему достичь своих целей. Кроме того, компания активно внедряет экологические и устойчивые практики в производственные процессы. Материалы, использующиеся для изготовления спортивной одежды и снаряжения, проходят строгую проверку на безопасность и экологическую чистоту, что делает продукцию Demix не только удобной и надежной, но и заботящейся об окружающей среде. Не стоит забывать и о дизайнерской составляющей бренда. Учитывая стремление к созданию функциональной и в то же время стильной продукции, Demix выпускает коллекции, которые сочетают современные тренды и удобство. Визуальная составляющая коллекции аккуратно продумана, чтобы каждый покупатель мог подчеркнуть свою индивидуальность, не жертвуя при этом качеством и комфортом. Это делает бренд популярным как среди профессиональных спортсменов, так и среди любителей активного образа жизни. Тренировочная экипировка Demix предоставляет уникальное сочетание технологий, стиля и доступности. Бренд стремится не только к созданию товаров для спорта, но и к тому, чтобы стать верным спутником на пути к достижениям. Использование последних достижений в области спортивной науки и технологий позволяет Demix предлагать продукцию, которая помогает каждому пользователю развиваться и достигать новых вершин в спорте и физической активности.",https://www.demix.ru,https://merchantpoint.ru/brand/4335
MA0001065581,4900,,,Газпром энергосбыт Тюмень,,,https://merchantpoint.ru/brand/4336
"""GOROD KOFE""",5814,,,Город кофе,"Компания Город Кофе успешно работает на российском рынке с 2007 года, специализируясь на предоставлении комплексных услуг в сегменте вендинга, которые включают в себя: установку вендинговых аппаратов, поставку профессионального кофе и других ингредиентов для автоматов от ведущих итальянских и немецких поставщиков, продажу оборудования и его полное сервисное обслуживание.",https://kofe31.ru/,https://merchantpoint.ru/brand/4337
EC_ALFA TELECOM,4814,,,Альфа-Телеком,,,https://merchantpoint.ru/brand/4338
MA0000470994,4814,,,МГТС,,,https://merchantpoint.ru/brand/4339
"AZALIA,Azalia,Azalia Now,Robokassa*Azalia22new,YM *azalia22",5992,Онлайн,,AzaliaNow,"AzaliaNow — это динамично развивающийся сервис на российском рынке онлайн-продаж и доставки цветов, который нацелен на превосходство в каждой детали. Мы ежедневно создаём эффектные букеты любой сложности, удивляя наших клиентов высоким качеством и оригинальностью. Сотрудничая с крупнейшими экспортёрами растений со всего мира, мы гарантируем, что каждый цветок, используемый в наших композициях, на 100% свежий и поступает к нам ежедневно. Наши профессиональные флористы, обладающие многолетним опытом, тщательно собирают каждый букет, вкладывая в него не только мастерство, но и душу. Кроме того, AzaliaNow предлагает широкий ассортимент цветов и уникальных растений, что позволяет каждому клиенту подобрать идеальный букет, соответствующий любому вкусу и бюджету. Мы стремимся не просто удовлетворить ожидания, а создать незабываемые впечатления, превращая каждый заказ в настоящее произведение искусства.",https://azalianow.ru,https://merchantpoint.ru/brand/4324
"SP TODA PICCA,SP_TODA PICCA,TODA PICCA","5812,5814",,,Toda Pizza,"Сеть пиццерий, г. Москва",https://todapizza.ru/,https://merchantpoint.ru/brand/4325
"B1 PAMADZHIR,B1 SEVERNYY DONET,B1 STEPNAYA NEELOVKA,B1 YALYNKOVATOE,B1 ZLATOKLAS",5411,"Московская обл, г Домодедово, мкр Центральный, ул Кирова, д 17 к 1",,В1 Первый выбор,Первый выбор — Выгодный продуктовый магазин. Ведь «В1 — Первый выбор» уже подобрал для вас свежие продукты по низким ценам,https://v1.market/,https://merchantpoint.ru/brand/4326
,,,,NKclinic,"Имплантологический центр NKclinic Команда докторов, для которых нет невозможного Москва, Ленинский просп., 72/2",https://nkclinic.ru/,https://merchantpoint.ru/brand/4327
"""IP PRAVDINA N.V."",MK Delivery,NADEZHDA","5411,5499,5814",,,Супермаркет  Надежда,,,https://merchantpoint.ru/brand/4328
"IP Vladimirov A A,ZABOTLIVYE CENY","5411,5814",,,Заботливые цены,,https://vk.com/zab_ceny?ysclid=m37eenvmsa398384325,https://merchantpoint.ru/brand/4329
KANTMARKET,5411,,,КАНТ маркет,,https://vk.com/kant_market_kld?ysclid=m37ejgfgla287331038,https://merchantpoint.ru/brand/4330
MA0000219262,9400,Онлайн,,Финуслуги,,,https://merchantpoint.ru/brand/4331
9 PROCENTOV,5411,,,9 процентов,Сеть продуктовых магазинов г. Самара,,https://merchantpoint.ru/brand/4332
MA0000482889,5912,,,Губернские аптеки,«Губернские аптеки» — крупнейшая региональная аптечная сеть Сибири.,https://vk.com/gubernskie_apteki,https://merchantpoint.ru/brand/4333
"DEMIX 6298,DEMIX 6357,DEMIX 6381,DEMIX 6391,DEMIX 6923,MA0000823539,MA0000979955,MA0001832566,MA0002073846,MA0002167561,MA0002573029,MA0002616653",5655,,,Demix,"Demix — это бренд, который представляет собой передовое решение для спортсменов и активных людей, предлагая широкий ассортимент экипировки для различных видов спорта, таких как тренировки, фитнес, бег, йога, плавание и командные виды спорта. Продукция бренда разрабатывается международной командой технологов, дизайнеров и специалистов спортивной индустрии, что позволяет учитывать все последние тенденции и технологические достижения. Вдохновленные стремлением создавать продукцию, которая помогает достигать новых высот в спорте и тренировках, специалисты Demix используют только инновационные материалы и разработки. Каждый элемент коллекции Demix, от спортивных костюмов до обуви и аксессуаров, отражает философию бренда, которая заключается в сочетании комфорта, функциональности и стиля. Независимо от того, занимаетесь ли вы бегом на длинные дистанции, предпочитаете занятия йогой или играете в командные игры, экипировка Demix помогает достигать лучших результатов. Она не только повышает производительность, но и поддерживает высокий уровень комфорта, позволяя сосредоточиться на тренировке без отвлекающих факторов. Demix является частью крупнейшей сети спортивных магазинов «Спортмастер», что предоставляет бренду доступ к широкой аудитории, а также возможность тестировать свою продукцию на множестве различных рынков. В этой синергии «Спортмастер» обеспечивает огромный опыт в области спортивной розничной торговли, а Demix представляет собой идеальный баланс между технологической инновацией и доступной ценой, что позволяет каждому покупателю найти продукцию, идеально подходящую под его потребности и бюджет. Особое внимание уделяется качеству и долговечности продукции. Использование высококачественных материалов, таких как дышащие ткани, эластичные и прочные волокна, обеспечивает надежность и долгий срок службы каждого изделия. Множество спортивных аксессуаров и специализированных вещей, таких как спортивные сумки, бутылки для воды и гетры, идеально дополняют основной ассортимент, создавая полную картину для активного образа жизни. Бренд активно сотрудничает с профессиональными спортсменами и фитнес-тренерами, получая ценную информацию для дальнейшего улучшения своей продукции. Включение таких экспертов в процесс разработки позволяет не только улучшить функциональность, но и добавить новаторские элементы, которые делают тренировочный процесс более эффективным и комфортным. Вне зависимости от уровня подготовки, каждый может найти в Demix то, что поможет ему достичь своих целей. Кроме того, компания активно внедряет экологические и устойчивые практики в производственные процессы. Материалы, использующиеся для изготовления спортивной одежды и снаряжения, проходят строгую проверку на безопасность и экологическую чистоту, что делает продукцию Demix не только удобной и надежной, но и заботящейся об окружающей среде. Не стоит забывать и о дизайнерской составляющей бренда. Учитывая стремление к созданию функциональной и в то же время стильной продукции, Demix выпускает коллекции, которые сочетают современные тренды и удобство. Визуальная составляющая коллекции аккуратно продумана, чтобы каждый покупатель мог подчеркнуть свою индивидуальность, не жертвуя при этом качеством и комфортом. Это делает бренд популярным как среди профессиональных спортсменов, так и среди любителей активного образа жизни. Тренировочная экипировка Demix предоставляет уникальное сочетание технологий, стиля и доступности. Бренд стремится не только к созданию товаров для спорта, но и к тому, чтобы стать верным спутником на пути к достижениям. Использование последних достижений в области спортивной науки и технологий позволяет Demix предлагать продукцию, которая помогает каждому пользователю развиваться и достигать новых вершин в спорте и физической активности.",https://www.demix.ru,https://merchantpoint.ru/brand/4335
MA0001065581,4900,,,Газпром энергосбыт Тюмень,,,https://merchantpoint.ru/brand/4336
"""GOROD KOFE""",5814,,,Город кофе,"Компания Город Кофе успешно работает на российском рынке с 2007 года, специализируясь на предоставлении комплексных услуг в сегменте вендинга, которые включают в себя: установку вендинговых аппаратов, поставку профессионального кофе и других ингредиентов для автоматов от ведущих итальянских и немецких поставщиков, продажу оборудования и его полное сервисное обслуживание.",https://kofe31.ru/,https://merchantpoint.ru/brand/4337
EC_ALFA TELECOM,4814,,,Альфа-Телеком,,,https://merchantpoint.ru/brand/4338
MA0000470994,4814,,,МГТС,,,https://merchantpoint.ru/brand/4339
"AZALIA,Azalia,Azalia Now,Robokassa*Azalia22new,YM *azalia22",5992,Онлайн,,AzaliaNow,"AzaliaNow — это динамично развивающийся сервис на российском рынке онлайн-продаж и доставки цветов, который нацелен на превосходство в каждой детали. Мы ежедневно создаём эффектные букеты любой сложности, удивляя наших клиентов высоким качеством и оригинальностью. Сотрудничая с крупнейшими экспортёрами растений со всего мира, мы гарантируем, что каждый цветок, используемый в наших композициях, на 100% свежий и поступает к нам ежедневно. Наши профессиональные флористы, обладающие многолетним опытом, тщательно собирают каждый букет, вкладывая в него не только мастерство, но и душу. Кроме того, AzaliaNow предлагает широкий ассортимент цветов и уникальных растений, что позволяет каждому клиенту подобрать идеальный букет, соответствующий любому вкусу и бюджету. Мы стремимся не просто удовлетворить ожидания, а создать незабываемые впечатления, превращая каждый заказ в настоящее произведение искусства.",https://azalianow.ru,https://merchantpoint.ru/brand/4324
"SP TODA PICCA,SP_TODA PICCA,TODA PICCA","5812,5814",,,Toda Pizza,"Сеть пиццерий, г. Москва",https://todapizza.ru/,https://merchantpoint.ru/brand/4325
"B1 PAMADZHIR,B1 SEVERNYY DONET,B1 STEPNAYA NEELOVKA,B1 YALYNKOVATOE,B1 ZLATOKLAS",5411,"Московская обл, г Домодедово, мкр Центральный, ул Кирова, д 17 к 1",,В1 Первый выбор,Первый выбор — Выгодный продуктовый магазин. Ведь «В1 — Первый выбор» уже подобрал для вас свежие продукты по низким ценам,https://v1.market/,https://merchantpoint.ru/brand/4326
,,,,NKclinic,"Имплантологический центр NKclinic Команда докторов, для которых нет невозможного Москва, Ленинский просп., 72/2",https://nkclinic.ru/,https://merchantpoint.ru/brand/4327
"""IP PRAVDINA N.V."",MK Delivery,NADEZHDA","5411,5499,5814",,,Супермаркет  Надежда,,,https://merchantpoint.ru/brand/4328
"IP Vladimirov A A,ZABOTLIVYE CENY","5411,5814",,,Заботливые цены,,https://vk.com/zab_ceny?ysclid=m37eenvmsa398384325,https://merchantpoint.ru/brand/4329
KANTMARKET,5411,,,КАНТ маркет,,https://vk.com/kant_market_kld?ysclid=m37ejgfgla287331038,https://merchantpoint.ru/brand/4330
MA0000219262,9400,Онлайн,,Финуслуги,,,https://merchantpoint.ru/brand/4331
9 PROCENTOV,5411,,,9 процентов,Сеть продуктовых магазинов г. Самара,,https://merchantpoint.ru/brand/4332
MA0000482889,5912,,,Губернские аптеки,«Губернские аптеки» — крупнейшая региональная аптечная сеть Сибири.,https://vk.com/gubernskie_apteki,https://merchantpoint.ru/brand/4333
"DEMIX 6298,DEMIX 6357,DEMIX 6381,DEMIX 6391,DEMIX 6923,MA0000823539,MA0000979955,MA0001832566,MA0002073846,MA0002167561,MA0002573029,MA0002616653",5655,,,Demix,"Demix — это бренд, который представляет собой передовое решение для спортсменов и активных людей, предлагая широкий ассортимент экипировки для различных видов спорта, таких как тренировки, фитнес, бег, йога, плавание и командные виды спорта. Продукция бренда разрабатывается международной командой технологов, дизайнеров и специалистов спортивной индустрии, что позволяет учитывать все последние тенденции и технологические достижения. Вдохновленные стремлением создавать продукцию, которая помогает достигать новых высот в спорте и тренировках, специалисты Demix используют только инновационные материалы и разработки. Каждый элемент коллекции Demix, от спортивных костюмов до обуви и аксессуаров, отражает философию бренда, которая заключается в сочетании комфорта, функциональности и стиля. Независимо от того, занимаетесь ли вы бегом на длинные дистанции, предпочитаете занятия йогой или играете в командные игры, экипировка Demix помогает достигать лучших результатов. Она не только повышает производительность, но и поддерживает высокий уровень комфорта, позволяя сосредоточиться на тренировке без отвлекающих факторов. Demix является частью крупнейшей сети спортивных магазинов «Спортмастер», что предоставляет бренду доступ к широкой аудитории, а также возможность тестировать свою продукцию на множестве различных рынков. В этой синергии «Спортмастер» обеспечивает огромный опыт в области спортивной розничной торговли, а Demix представляет собой идеальный баланс между технологической инновацией и доступной ценой, что позволяет каждому покупателю найти продукцию, идеально подходящую под его потребности и бюджет. Особое внимание уделяется качеству и долговечности продукции. Использование высококачественных материалов, таких как дышащие ткани, эластичные и прочные волокна, обеспечивает надежность и долгий срок службы каждого изделия. Множество спортивных аксессуаров и специализированных вещей, таких как спортивные сумки, бутылки для воды и гетры, идеально дополняют основной ассортимент, создавая полную картину для активного образа жизни. Бренд активно сотрудничает с профессиональными спортсменами и фитнес-тренерами, получая ценную информацию для дальнейшего улучшения своей продукции. Включение таких экспертов в процесс разработки позволяет не только улучшить функциональность, но и добавить новаторские элементы, которые делают тренировочный процесс более эффективным и комфортным. Вне зависимости от уровня подготовки, каждый может найти в Demix то, что поможет ему достичь своих целей. Кроме того, компания активно внедряет экологические и устойчивые практики в производственные процессы. Материалы, использующиеся для изготовления спортивной одежды и снаряжения, проходят строгую проверку на безопасность и экологическую чистоту, что делает продукцию Demix не только удобной и надежной, но и заботящейся об окружающей среде. Не стоит забывать и о дизайнерской составляющей бренда. Учитывая стремление к созданию функциональной и в то же время стильной продукции, Demix выпускает коллекции, которые сочетают современные тренды и удобство. Визуальная составляющая коллекции аккуратно продумана, чтобы каждый покупатель мог подчеркнуть свою индивидуальность, не жертвуя при этом качеством и комфортом. Это делает бренд популярным как среди профессиональных спортсменов, так и среди любителей активного образа жизни. Тренировочная экипировка Demix предоставляет уникальное сочетание технологий, стиля и доступности. Бренд стремится не только к созданию товаров для спорта, но и к тому, чтобы стать верным спутником на пути к достижениям. Использование последних достижений в области спортивной науки и технологий позволяет Demix предлагать продукцию, которая помогает каждому пользователю развиваться и достигать новых вершин в спорте и физической активности.",https://www.demix.ru,https://merchantpoint.ru/brand/4335
